1262,1262
1262,2443
2443,2355
2355,2443
2443,1710
1710,1968
1968,1261
1261,2442
2442,1261
1261,1262
1262,2443
2443,1266
1266,1459
1459,1460
1460,1461
1461,1462
1462,1463
1463,1464
1464,1465
1465,1466
1466,2884
2884,2885
2885,1985
1985,1986
1986,2443
2443,1934
1934,1935
1935,2502
2502,2503
2503,1467
1467,1468
1468,1469
1469,1470
1470,1471
1471,1472
1472,1473
1473,1474
1474,1475
1475,1476
1476,1477
1477,1478
1478,1475
1475,1476
1476,2613
2613,2614
2614,1936
1936,1937
1937,2443
2443,1582
1582,1583
1583,2443
2443,1583
1583,1968
1968,1261
1261,1262
1262,2443
2443,1266
1266,1968
1968,2443
2443,2192
2192,3220
3220,3494
3494,3472
3472,3107
3107,3220
3220,3107
3107,3109
3109,1261
1261,2192
2192,3220
